supporter_id,first_name,last_name,date_of_birth,email,postcode,region,sign_up_date,source_channel,marketing_consent,status,last_activity_date
50,Leah,Uddin,1955-05-24,leah.uddin50@example.com,L12 1WX,East of England,2017-07-03,Partner,1,Active,2026-04-24
51,Samuel,Gill,2004-05-18,samuel.gill51@example.com,NE8 7SD,Yorkshire & Humber,2024-04-28,Web,0,Active,2026-06-06
52,Kai,Mensah,1965-02-20,kai.mensah52@example.com,BS7 2JH,North East,2018-10-09,Partner,0,Active,2021-04-10
53,Samuel,Carrick,1988-02-28,samuel.carrick53@example.com,SE21 8EH,London,2023-02-24,Web,0,Active,2025-09-26
54,Rachel,Okafor,1975-01-12,rachel.okafor54@example.com,NE26 3GL,East Midlands,2020-05-03,Telephone,0,Active,2025-09-29
55,Rachel,Whitlock,1955-10-12,,B31 2AS,Wales,2025-06-12,Web,1,Active,2025-06-17
56,Olive,Quainton,1978-05-23,olive.quainton56@example.com,SE20 3GE,,2024-08-25,Social,1,Active,2025-11-14
57,Leah,Zielinski,1949-06-13,leah.zielinski57@example.com,BT17 9TJ,North West,2022-04-07,Social,0,Lapsed,2023-02-18
58,Fatima,Duffy,1967-09-20,fatima.duffy58@example.com,M19 2NX,North West,2026-05-25,Direct Mail,0,Active,2026-07-05
59,Olive,Bright,1956-11-26,olive.bright59@example.com,M2 7AP,Yorkshire & Humber,2024-10-03,Direct Mail,1,Lapsed,2026-06-01
60,Verity,Sharpe,1977-06-25,verity.sharpe60@example.com,BS12 8NN,North West,2025-06-05,Social,1,Active,2026-02-09
61,Callum,Vasquez,1999-06-18,callum.vasquez61@example.com,SW32 9ZA,Wales,2022-04-05,Web,1,Lapsed,2024-11-02
62,Freya,Dalgleish,1978-01-20,freya.dalgleish62@example.com,NE40 4PE,Northern Ireland,2024-08-17,Telephone,1,Active,2025-02-05
63,Emeka,Grewal,1990-01-12,emeka.grewal63@example.com,G39 2BN,Wales,2024-05-13,Telephone,1,Active,2026-03-01
64,Amara,Dalgleish,2000-03-11,amara.dalgleish64@example.com,CF18 3DU,Northern Ireland,2022-08-01,Social,1,Active,2023-03-23
65,Noah,Morrow,1980-01-10,noah.morrow65@example.com,BS30 4UW,East of England,2026-03-31,Direct Mail,1,Lapsed,2026-04-29
66,Amara,Kowalski,1996-09-10,amara.kowalski66@example.com,L8 5WZ,North West,2017-11-13,Partner,0,Inactive,2023-10-03
67,Rachel,Whitlock,1988-03-11,rachel.whitlock67@example.com,B28 6AQ,East Midlands,2022-09-28,Partner,0,Active,2023-08-09
68,Kai,Wainwright,1951-09-10,,SE34 3TR,East Midlands,2023-10-08,Partner,0,Lapsed,2023-10-26
69,Amara,Iqbal,1949-11-12,amara.iqbal69@example.com,NE15 4DP,Scotland,2019-10-26,Telephone,0,Active,2024-09-20
70,Rachel,Pemberton,1998-03-06,rachel.pemberton70@example.com,M38 2GD,South East,2022-11-02,Web,1,Active,2023-09-10
71,Elliot,Thornbury,1960-05-01,elliot.thornbury71@example.com,EH11 2WJ,Northern Ireland,2024-09-25,Web,1,Active,2026-04-17
72,Chloe,Pemberton,1990-08-12,chloe.pemberton72@example.com,G37 9LU,South East,2022-02-06,Event,0,Inactive,2025-07-10
73,Hannah,Uddin,1964-02-26,hannah.uddin73@example.com,SW3 2ER,Yorkshire & Humber,2025-01-21,Web,0,Active,2025-02-11
74,Ben,Ellery,1976-04-14,ben.ellery74@example.com,L27 6QP,Yorkshire & Humber,2020-03-05,Telephone,1,Active,2022-11-23
75,Deborah,Mensah,2001-09-11,deborah.mensah75@example.com,NE27 9DA,East of England,2023-03-14,Social,1,Active,2024-11-18
76,Omar,Bright,1983-09-22,omar.bright76@example.com,LS35 2TY,London,2020-12-11,Event,1,Active,2024-02-21
77,Samuel,Fenton,1971-11-24,samuel.fenton77@example.com,SE23 7EU,North West,2020-06-08,Event,0,Active,2022-06-10
78,Chloe,Vasquez,1972-10-12,chloe.vasquez78@example.com,m142ws,Wales,2018-12-28,Event,0,Active,2019-06-05
79,Grace,Gill,2005-01-12,grace.gill79@example.com,G18 1EE,Yorkshire & Humber,2026-01-28,Web,0,Active,2026-07-21
80,Karolina,Abiola,1950-07-10,karolina.abiola80@example.com,LS16 8ZT,South West,2018-07-20,Partner,0,Active,2022-04-13
81,Lucy,Ahmed,1972-03-18,lucy.ahmed81@example.com,BT11 7WG,London,2021-05-19,Web,0,Active,2025-12-14
82,Daniel,Jarvis,1996-01-24,daniel.jarvis82@example.com,EH20 4UA,North East,2023-10-12,Social,0,Active,2025-12-13
83,Noah,Sandoval,1975-03-08,noah.sandoval83@example.com,G40 1TZ,Wales,2025-04-11,Web,0,Active,2025-11-02
84,Fatima,Wainwright,2000-12-07,fatima.wainwright84@example.com,BT6 7NX,Yorkshire & Humber,2022-02-28,Web,1,Active,2023-08-01
85,Maya,Iqbal,2006-08-16,maya.iqbal85@example.com,G15 1SB,Northern Ireland,2026-04-10,Social,0,Active,2026-08-10
86,Theo,Bright,1975-08-12,theo.bright86@example.com,N6 7PE,London,2021-12-31,Partner,0,Lapsed,2023-01-15
87,Rosa,Sharpe,1992-05-05,rosa.sharpe87@example.com,N12 2XA,North East,2019-11-19,Telephone,0,Lapsed,2020-03-19
88,Fatima,Grewal,1967-03-22,fatima.grewal88@example.com,G26 5LS,London,2021-12-16,Web,0,Active,2025-05-17
89,Leah,Vasquez,1952-01-23,leah.vasquez89@example.com,N39 6ND,South West,2023-09-18,Partner,1,Active,2026-05-09
90,Karolina,Grewal,2005-03-20,karolina.grewal90@example.com,G36 4EH,East of England,2023-03-27,Social,1,Active,2026-07-07
91,Kai,Abiola,1990-03-06,kai.abiola91@example.com,SE2 8BW,Yorkshire & Humber,2023-07-24,Partner,1,Active,2026-04-12
92,Niamh,Carrick,1980-08-03,niamh.carrick92@example.com,B11 7ZW,South West,2018-01-22,Partner,0,Active,2021-05-10
93,Samuel,Kowalski,1996-11-23,samuel.kowalski93@example.com,NE25 5PR,East of England,2024-02-23,Direct Mail,1,Active,2026-01-15
94,Isaac,Morrow,1983-05-01,isaac.morrow94@example.com,CF32 4FD,London,2018-01-09,Partner,0,Active,2019-06-03
95,Liam,Morrow,1977-08-26,liam.morrow95@example.com,LS12 1TL,East Midlands,2020-02-28,Event,1,Lapsed,2024-09-08
96,Zara,Ahmed,1973-06-02,zara.ahmed96@example.com,NE20 2XA,East of England,2019-07-13,Event,1,Active,2021-02-13
97,Wei,Ellery,1953-05-17,wei.ellery97@example.com,M29 7HP,Northern Ireland,2021-10-13,Telephone,0,Active,2025-04-04
98,Fatima,Pemberton,1956-04-18,fatima.pemberton98@example.com,n157ul,East of England,2018-01-03,Event,0,Active,2021-02-12
99,Amara,Quainton,2001-12-25,,LS27 4RF,Northern Ireland,2026-01-04,Social,1,Active,2026-06-02
100,Freya,Whitlock,1956-08-28,freya.whitlock100@example.com,CF25 1SX,Wales,2022-09-02,Social,0,Active,2026-01-11
101,Aisha,Baptiste,1964-04-02,aisha.baptiste101@example.com,NE9 6TZ,Wales,2018-12-26,Partner,1,Active,2020-02-25
102,Gareth,Abiola,2003-01-08,gareth.abiola102@example.com,M3 8AJ,North West,2024-12-09,Telephone,1,Active,2025-04-12
103,Aisha,Nkemelu,1999-10-08,aisha.nkemelu103@example.com,LS21 9FB,Scotland,2020-10-24,Telephone,1,Inactive,2023-07-28
104,Amara,Dalgleish,1946-06-09,amara.dalgleish104@example.com,SE5 5EQ,North East,2024-01-19,Direct Mail,0,Active,2024-08-25
105,Noah,Fenton,1959-07-16,noah.fenton105@example.com,BS36 4QZ,South East,2024-03-17,Telephone,1,Lapsed,2024-06-12
106,Leah,Morrow,1960-01-23,leah.morrow106@example.com,BT3 4RH,Yorkshire & Humber,2019-02-13,Partner,1,Lapsed,2020-06-17
107,Grace,Sharpe,1999-06-06,grace.sharpe107@example.com,bs246ew,North West,2019-12-01,Event,0,Lapsed,2021-01-04
108,Eleanor,Iqbal,1974-02-05,eleanor.iqbal108@example.com,SE18 8XW,Wales,2024-08-02,Direct Mail,0,Active,2026-05-06
109,Verity,Duffy,2005-11-01,verity.duffy109@example.com,N30 1GS,East Midlands,2019-11-15,Partner,1,Active,2021-10-09
110,Samuel,Fenton,1961-07-08,samuel.fenton110@example.com,SW23 3DR,North East,2019-11-03,Event,1,Deceased,2024-04-28
111,Harun,Rashid,1982-12-24,harun.rashid111@example.com,BS28 5FR,Yorkshire & Humber,2021-03-26,Web,1,Inactive,2022-02-12
112,Leah,Iqbal,1997-02-15,leah.iqbal112@example.com,SE5 2WX,London,2019-08-29,Telephone,0,Active,2025-04-17
113,Eleanor,Thornbury,1963-04-12,eleanor.thornbury113@example.com,G21 4AZ,North East,2022-04-08,Telephone,0,Active,2022-08-23
114,Jasmin,Hargreaves,1960-11-27,jasmin.hargreaves114@example.com,SW38 9QZ,London,2023-10-11,Social,0,Deceased,2025-12-22
115,Zara,Jarvis,1978-02-06,zara.jarvis115@example.com,N23 3UA,East Midlands,2022-07-30,Social,1,Inactive,2024-08-17
116,Uche,Abiola,1995-12-05,uche.abiola116@example.com,BS14 4AB,West Midlands,2020-03-12,Partner,1,Inactive,2024-08-16
117,Niamh,Jarvis,1981-02-08,niamh.jarvis117@example.com,LS14 3NX,North East,2019-12-04,Event,0,Active,2021-08-30
118,Sofia,Mensah,2005-08-17,sofia.mensah118@example.com,B32 2GG,South West,2025-09-26,Direct Mail,0,Active,2026-04-15
119,Eleanor,Iqbal,1991-01-10,eleanor.iqbal119@example.com,SE24 6UJ,East Midlands,2024-05-02,Web,0,Active,2025-11-16
120,Gareth,Dalgleish,1984-08-18,gareth.dalgleish120@example.com,N36 1WY,East of England,2025-05-30,Direct Mail,0,Lapsed,2025-11-11
121,Grace,Rashid,1967-05-20,grace.rashid121@example.com,G11 1SB,South West,2024-02-09,Direct Mail,0,Active,2024-11-13
122,Jasmin,Mensah,1976-07-23,jasmin.mensah122@example.com,M33 1PY,South East,2023-12-08,Direct Mail,1,Active,2024-07-15
123,Niamh,Lindqvist,1975-09-24,niamh.lindqvist123@example.com,M37 9YQ,North East,2020-09-11,Web,1,Active,2021-08-14
124,Rhys,Gill,1965-06-01,rhys.gill124@example.com,SW15 7FU,Northern Ireland,2022-07-27,Partner,0,Active,2023-07-22
125,Rachel,Pemberton,2006-04-23,rachel.pemberton125@example.com,CF33 6TR,North West,2023-08-06,Direct Mail,1,Inactive,2025-07-12
126,Lucy,Baptiste,1946-12-06,lucy.baptiste126@example.com,L35 6RY,London,2024-03-07,Direct Mail,1,Inactive,2026-07-03
127,Priya,Iqbal,1974-08-05,priya.iqbal127@example.com,NE22 7WG,London,2022-02-15,Partner,1,Active,2022-03-20
128,Omar,Lindqvist,1977-10-19,omar.lindqvist128@example.com,G8 6SX,East of England,2019-03-02,Event,0,Active,2024-10-28
129,Jasmin,Sharpe,1965-01-23,jasmin.sharpe129@example.com,EH18 3DP,Wales,2019-11-25,Partner,1,Active,2020-05-03
130,Aisha,Lindqvist,1947-10-22,aisha.lindqvist130@example.com,EH23 3LR,East Midlands,2025-12-11,Direct Mail,0,Active,2026-07-22
131,Kai,Ellery,1968-12-21,kai.ellery131@example.com,BT36 9LD,West Midlands,2023-10-20,Social,0,Active,2026-02-28
132,Karolina,Lindqvist,1962-01-22,karolina.lindqvist132@example.com,BS11 7BT,South West,2026-10-17,Partner,1,Active,2025-07-07
133,Elliot,Morrow,1946-04-06,elliot.morrow133@example.com,NE24 7FQ,Yorkshire & Humber,2023-04-14,Web,1,Active,2023-08-20
134,Eleanor,Tewari,1982-10-19,eleanor.tewari134@example.com,B22 8PS,North East,2023-01-10,Partner,0,Lapsed,2023-05-05
135,Rhys,Baptiste,2000-07-17,rhys.baptiste135@example.com,G34 5RJ,South East,2023-07-04,Social,1,Active,2025-03-16
136,Emeka,Duffy,1981-10-04,emeka.duffy136@example.com,BT30 5BL,Yorkshire & Humber,2023-11-22,Social,1,Active,2024-04-28
137,Amara,Grewal,2003-05-22,amara.grewal137@example.com,BS29 7UG,London,2023-12-23,Direct Mail,1,Active,2024-12-12
138,Olive,Dalgleish,1994-06-23,olive.dalgleish138@example.com,CF26 5BJ,Northern Ireland,2024-01-26,Web,1,Lapsed,2025-03-19
139,Jasmin,Duffy,1991-12-11,jasmin.duffy139@example.com,EH16 1XF,London,2023-06-07,Web,0,Active,2025-05-22
140,Zainab,Sandoval,1967-06-05,zainab.sandoval140@example.com,L30 5ZF,Scotland,2021-08-24,Web,1,Active,2025-08-14
141,Deborah,Zielinski,1987-10-17,deborah.zielinski141@example.com,SW38 8DJ,South East,2024-05-04,Web,0,Active,2024-09-23
142,Yusuf,Zielinski,1949-08-07,yusuf.zielinski142@example.com,EH4 7YE,North East,2022-02-03,Partner,0,Inactive,2022-05-12
143,Daniel,Morrow,1966-10-10,daniel.morrow143@example.com,N11 1HA,East Midlands,2023-01-07,Social,1,Inactive,2025-07-25
144,Daniel,Abiola,1971-08-24,daniel.abiola144@example.com,N20 2ZP,East of England,2022-10-24,Social,0,Active,2022-11-06
145,Wei,Gill,2004-10-02,wei.gill145@example.com,BT11 1RA,East Midlands,2022-12-31,Web,0,Active,2025-09-22
146,Jasmin,Grewal,1995-02-08,jasmin.grewal146@example.com,M2 9BL,East of England,2020-03-29,Partner,1,Active,2022-06-10
147,Freya,Fenton,1984-06-27,freya.fenton147@example.com,M33 7FB,London,2017-06-17,Event,0,Active,2022-01-15
148,Liam,Chen,2006-03-16,liam.chen148@example.com,L28 8JF,Northern Ireland,2022-02-03,Web,0,Lapsed,2024-12-18
149,Ben,Jarvis,1987-02-15,ben.jarvis149@example.com,NE9 3DF,London,2019-03-16,Partner,1,Lapsed,2025-08-17
150,Chloe,Morrow,1977-09-20,chloe.morrow150@example.com,BS24 3WB,London,2023-05-22,Web,0,Active,2026-05-07
151,Freya,Kowalski,1979-12-02,freya.kowalski151@example.com,LS21 5ZJ,South East,2022-01-16,Web,0,Lapsed,2022-09-15
152,Imogen,Zielinski,1964-05-18,imogen.zielinski152@example.com,LS31 4BZ,South East,2018-09-14,Telephone,1,Active,2023-06-03
153,Yusuf,Whitlock,2006-06-11,yusuf.whitlock153@example.com,CF23 3LY,Wales,2018-02-18,Partner,0,Active,2021-01-18
154,Samuel,Pemberton,2005-10-10,samuel.pemberton154@example.com,b263by,South East,2020-10-29,Event,0,Inactive,2022-03-29
155,Theo,Thornbury,2001-12-27,theo.thornbury155@example.com,LS11 8BH,Yorkshire & Humber,2023-01-18,Partner,0,Active,2023-04-03
156,Rosa,Sandoval,1949-05-13,rosa.sandoval156@example.com,SE29 2UA,South East,2021-05-18,Telephone,1,Active,2023-05-12
157,Aisha,Jarvis,1955-05-25,aisha.jarvis157@example.com,G14 9BZ,London,2019-09-25,Event,0,Active,2022-04-05
158,Noah,Iqbal,1955-06-16,noah.iqbal158@example.com,EH1 8EU,North East,2021-02-17,Telephone,1,Active,2024-05-29
159,Lucy,Gill,1986-09-12,lucy.gill159@example.com,LS26 5TE,South West,2019-01-20,Partner,0,Active,2025-10-05
160,Gareth,Chen,1957-07-10,gareth.chen160@example.com,SW9 6QY,South East,2017-05-18,Event,1,Active,2024-04-14
161,Imogen,Abiola,1973-09-18,imogen.abiola161@example.com,G21 1BQ,East Midlands,2023-07-24,Web,1,Active,2023-10-05
162,Deborah,Vasquez,1977-02-01,deborah.vasquez162@example.com,N7 3LP,London,2022-06-06,Event,1,Active,2025-03-06
163,Jasmin,Zielinski,1971-09-16,jasmin.zielinski163@example.com,NE3 9LQ,South East,2025-10-06,Social,0,Active,2025-12-25
164,Priya,Hargreaves,1994-07-02,priya.hargreaves164@example.com,EH29 6TG,East Midlands,2024-06-20,Social,1,Active,2024-08-11
165,Rosa,Okafor,1974-03-14,rosa.okafor165@example.com,LS21 4XX,North East,2022-06-24,Telephone,1,Active,2026-02-18
166,Lucy,Bright,1999-12-22,,B3 6XS,North West,2025-10-24,Social,1,Lapsed,2026-06-18
167,Zainab,Thornbury,1981-10-26,zainab.thornbury167@example.com,SE23 5QH,London,2025-03-11,Web,1,Active,2025-08-23
168,Theo,Sandoval,2005-06-09,theo.sandoval168@example.com,LS30 9HS,South West,2024-03-27,Web,0,Inactive,2025-05-06
169,Lucy,Baptiste,1962-11-27,lucy.baptiste169@example.com,B27 7JR,,2025-01-07,Web,0,Active,2025-09-13
170,Samuel,Rashid,1952-05-10,samuel.rashid170@example.com,SE12 6BF,London,2023-08-03,Direct Mail,0,Active,2025-05-17
171,Grace,Fenton,1963-06-05,grace.fenton171@example.com,LS35 6TN,Scotland,2023-11-21,Direct Mail,1,Inactive,2025-12-20
172,Jasmin,Carrick,1956-08-03,jasmin.carrick172@example.com,NE10 5EA,East of England,2023-09-25,Web,0,Active,2025-01-03
173,Niamh,Yeboah,1984-07-14,niamh.yeboah173@example.com,G5 4EZ,Yorkshire & Humber,2023-06-14,Social,1,Inactive,2024-08-04
174,Zainab,Okafor,1997-10-27,zainab.okafor174@example.com,BT2 1ED,East of England,2022-06-09,Partner,0,Lapsed,2026-05-11
175,Freya,Thornbury,1996-10-01,freya.thornbury175@example.com,ls314gg,London,2024-11-20,Direct Mail,0,Active,2026-07-12
176,Callum,Tewari,1957-03-17,callum.tewari176@example.com,LS38 5GS,Wales,2024-02-11,Social,0,Inactive,2024-12-18
177,Gareth,Abiola,1983-02-17,gareth.abiola177@example.com,EH13 5ZY,West Midlands,2020-07-04,Event,1,Active,2022-05-09
178,Emeka,Zielinski,1997-04-04,emeka.zielinski178@example.com,BT26 8ZD,North West,2023-05-17,Partner,0,Lapsed,2024-12-26
179,Rosa,Rashid,1982-11-24,rosa.rashid179@example.com,n63qw,Wales,2022-08-09,Social,1,Active,2022-12-01
180,Verity,Hargreaves,1964-10-04,verity.hargreaves180@example.com,EH39 6JG,North West,2018-12-09,Event,1,Active,2026-06-10
181,Hannah,Wainwright,1989-02-12,,G32 6DY,South West,2024-02-05,Direct Mail,1,Active,2026-04-30
182,Sian,Lindqvist,1986-09-09,sian.lindqvist182@example.com,BS23 6DX,North West,2021-07-19,Telephone,1,Lapsed,2024-10-09
183,Rosa,Tewari,1990-09-19,rosa.tewari183@example.com,G24 1EQ,Yorkshire & Humber,2021-05-09,Event,0,Lapsed,2025-08-09
184,Samuel,Kowalski,2005-04-25,samuel.kowalski184@example.com,SW14 2ED,South East,2026-06-09,Direct Mail,0,Active,2026-08-08
185,Uche,Hargreaves,1949-03-26,uche.hargreaves185@example.com,B38 1RR,Scotland,2023-06-27,Social,1,Active,2025-12-19
186,Omar,Hargreaves,1984-09-10,omar.hargreaves186@example.com,N4 3QW,Northern Ireland,2022-03-06,Web,1,Lapsed,2026-08-07
187,Emeka,Iqbal,1997-01-07,emeka.iqbal187@example.com,EH37 7SR,Wales,2021-08-27,Partner,1,Active,2025-03-31
188,Rosa,Kowalski,1948-09-12,rosa.kowalski188.example.com,EH33 8LS,East of England,2020-08-10,Event,1,Active,2020-10-19
189,Rachel,Whitlock,1999-06-08,rachel.whitlock189@example.com,eh128de,South East,2017-12-04,Event,0,Lapsed,2023-09-08
190,Kai,Vasquez,1994-10-23,kai.vasquez190@example.com,BS5 2UP,North East,2024-05-29,Web,1,Active,2024-12-26
191,Deborah,Mensah,1982-02-01,deborah.mensah191@example.com,CF18 2PS,West Midlands,2022-07-05,Social,0,Active,2023-10-28
192,Elliot,Rashid,1983-02-07,elliot.rashid192@example.com,M13 5ZD,Scotland,2021-05-19,Web,1,Active,2022-04-22
193,Liam,Morrow,1995-10-21,liam.morrow193@example.com,g106de,Northern Ireland,2022-12-20,Telephone,1,Inactive,2024-02-25
194,Sofia,Chen,2004-11-04,sofia.chen194@example.com,B4 8QE,Wales,2023-08-16,Partner,0,Active,2024-01-06
195,Kai,Mensah,1971-02-13,kai.mensah195@example.com,G39 5WA,Yorkshire & Humber,2019-01-23,Event,0,Active,2023-06-16
196,Joseph,Abiola,1951-01-28,joseph.abiola196@example.com,NE24 1UA,London,2023-01-03,Web,1,Inactive,2023-03-02
197,Lucy,Uddin,2001-09-01,lucy.uddin197@example.com,L15 7PX,South West,2022-11-14,Social,1,Active,2023-05-20
198,Maya,Iqbal,1991-07-24,maya.iqbal198@example.com,L13 4JA,Yorkshire & Humber,2022-05-03,Telephone,0,Active,2023-09-05
199,Fatima,Vasquez,1986-04-26,fatima.vasquez199@example.com,CF30 5FG,South East,2024-02-18,Social,0,Active,2024-06-23
200,Karolina,Dalgleish,1961-08-10,karolina.dalgleish200@example.com,CF40 3FJ,Wales,2023-09-29,Web,1,Lapsed,2024-07-13
201,Hannah,Jarvis,1963-09-08,,BS28 9PU,Scotland,2019-12-31,Telephone,1,Active,2023-04-29
202,Sofia,Sandoval,2005-04-26,sofia.sandoval202@example.com,SW37 2ZQ,East of England,2021-12-28,Event,0,Inactive,2022-05-16
